,wl,n,k
400,1.7139999999999998e-06,3.9925,4.5808
401,1.7222999999999998e-06,4.0002,4.589
402,1.7305999999999998e-06,4.0079,4.5973
403,1.739e-06,4.0155,4.6056
404,1.7474e-06,4.0232,4.6139
405,1.7559e-06,4.0307,4.6223
406,1.7643999999999998e-06,4.0383,4.6307
407,1.7728999999999998e-06,4.0458,4.6392
408,1.7815e-06,4.0533,4.6477
409,1.7902e-06,4.0607,4.6563
410,1.7987999999999998e-06,4.0681,4.6648
411,1.8075e-06,4.0755,4.6735
412,1.8162999999999999e-06,4.0828,4.6821
413,1.8251e-06,4.0901,4.6909
414,1.8339e-06,4.0974,4.6996
415,1.8428e-06,4.1046,4.7084
416,1.8517999999999998e-06,4.1117,4.7173
417,1.8607e-06,4.1189,4.7262
418,1.8696999999999999e-06,4.126,4.7351
419,1.8788e-06,4.133,4.7441
420,1.8878999999999997e-06,4.14,4.7531
421,1.8971e-06,4.147,4.7622
422,1.9061999999999999e-06,4.1539,4.7713
423,1.9154999999999997e-06,4.1608,4.7805
424,1.9248e-06,4.1677,4.7897
425,1.9341e-06,4.1745,4.799
426,1.9435e-06,4.1813,4.8084
427,1.9529e-06,4.188,4.8177
428,1.9623e-06,4.1947,4.8272
429,1.9718e-06,4.2013,4.8366
430,1.9813999999999998e-06,4.2079,4.8462
431,1.991e-06,4.2144,4.8558
432,2.0006e-06,4.2209,4.8654
433,2.0103e-06,4.2274,4.8751
434,2.0200999999999995e-06,4.2338,4.8849
435,2.0299e-06,4.2402,4.8947
436,2.0396999999999997e-06,4.2465,4.9046
437,2.0496e-06,4.2527,4.9145
438,2.0595e-06,4.259,4.9245
439,2.0695e-06,4.2651,4.9345
440,2.0794999999999997e-06,4.2713,4.9446
441,2.0896e-06,4.2773,4.9548
442,2.0997e-06,4.2834,4.965
443,2.1099e-06,4.2894,4.9753
444,2.1201e-06,4.2953,4.9857
445,2.1303999999999995e-06,4.3012,4.9961
446,2.1406999999999997e-06,4.307,5.0066
447,2.1511e-06,4.3128,5.0171
448,2.1615e-06,4.3185,5.0277
449,2.172e-06,4.3242,5.0384
450,2.1825e-06,4.3298,5.0492
451,2.1931e-06,4.3354,5.06
452,2.2036999999999998e-06,4.3409,5.0709
453,2.2144e-06,4.3464,5.0818
454,2.2250999999999997e-06,4.3518,5.0929
455,2.2359e-06,4.3571,5.104
456,2.2467e-06,4.3624,5.1152
457,2.2575999999999998e-06,4.3677,5.1264
458,2.2685e-06,4.3729,5.1378
459,2.2795e-06,4.378,5.1492
460,2.2905999999999997e-06,4.3831,5.1607
461,2.3017e-06,4.3881,5.1722
462,2.3128e-06,4.3931,5.1839
463,2.3239999999999997e-06,4.398,5.1956
464,2.3353e-06,4.4029,5.2074
465,2.3466e-06,4.4077,5.2193
466,2.3579e-06,4.4124,5.2313
467,2.3694e-06,4.4171,5.2434
468,2.3809e-06,4.4217,5.2555
469,2.3923999999999997e-06,4.4263,5.2678
470,2.4039999999999998e-06,4.4308,5.2801
471,2.4156e-06,4.4352,5.2925
472,2.4272999999999996e-06,4.4396,5.305
473,2.4390999999999997e-06,4.4439,5.3176
474,2.4508999999999997e-06,4.4482,5.3303
475,2.4628e-06,4.4524,5.3431
476,2.4746999999999998e-06,4.4565,5.356
477,2.4867e-06,4.4606,5.369
478,2.4987e-06,4.4646,5.3821
479,2.5109e-06,4.4686,5.3953
480,2.523e-06,4.4725,5.4086
481,2.5352e-06,4.4763,5.422
482,2.5474999999999997e-06,4.4801,5.4355
483,2.5599e-06,4.4838,5.4491
484,2.5722999999999995e-06,4.4874,5.4628
485,2.5847e-06,4.491,5.4766
486,2.5973e-06,4.4945,5.4905
487,2.6098e-06,4.498,5.5046
488,2.6225e-06,4.5013,5.5187
489,2.6352e-06,4.5047,5.533
490,2.648e-06,4.5079,5.5474
491,2.6608e-06,4.5111,5.5619
492,2.6737e-06,4.5142,5.5765
493,2.6866e-06,4.5173,5.5912
494,2.6996e-06,4.5203,5.6061
495,2.7127e-06,4.5232,5.6211
496,2.7259e-06,4.5261,5.6362
497,2.7391e-06,4.5289,5.6514
498,2.7523e-06,4.5317,5.6668
499,2.7656999999999996e-06,4.5343,5.6823
500,2.7791e-06,4.5369,5.6979
501,2.7925e-06,4.5395,5.7137
502,2.8060999999999997e-06,4.542,5.7296
503,2.8197e-06,4.5444,5.7456
504,2.8332999999999996e-06,4.5467,5.7618
505,2.8471000000000002e-06,4.549,5.7781
506,2.8607999999999998e-06,4.5512,5.7946
507,2.8746999999999998e-06,4.5534,5.8112
508,2.8885999999999998e-06,4.5555,5.8279
509,2.9026e-06,4.5575,5.8448
510,2.9167e-06,4.5595,5.8619
511,2.9308e-06,4.5614,5.8791
512,2.9449999999999998e-06,4.5632,5.8964
513,2.9592999999999998e-06,4.565,5.9139
514,2.9735999999999998e-06,4.5667,5.9316
515,2.988e-06,4.5684,5.9494
516,3.0024999999999996e-06,4.57,5.9674
517,3.0171e-06,4.5715,5.9855
518,3.0316999999999997e-06,4.573,6.0038
519,3.0464e-06,4.5744,6.0223
520,3.0611000000000002e-06,4.5757,6.041
521,3.076e-06,4.577,6.0598
522,3.0909e-06,4.5782,6.0788
523,3.1057999999999996e-06,4.5794,6.0979
524,3.1208999999999996e-06,4.5805,6.1172
525,3.136e-06,4.5816,6.1367
526,3.1511999999999996e-06,4.5826,6.1564
527,3.1665e-06,4.5835,6.1763
528,3.1817999999999998e-06,4.5844,6.1964
529,3.1972e-06,4.5852,6.2166
530,3.2126999999999998e-06,4.586,6.237
531,3.2282999999999997e-06,4.5868,6.2576
532,3.2439e-06,4.5874,6.2785
533,3.2595999999999997e-06,4.5881,6.2995
534,3.2753999999999996e-06,4.5886,6.3207
535,3.2913e-06,4.5892,6.342
536,3.3072e-06,4.5896,6.3636
537,3.3233e-06,4.5901,6.3854
538,3.3393999999999997e-06,4.5904,6.4074
539,3.3555e-06,4.5908,6.4296
540,3.3717999999999996e-06,4.5911,6.452
541,3.3881e-06,4.5913,6.4747
542,3.4044999999999998e-06,4.5915,6.4975
543,3.4209999999999995e-06,4.5917,6.5205
544,3.4376e-06,4.5918,6.5438
545,3.4542999999999997e-06,4.5919,6.5673
546,3.471e-06,4.5919,6.591
547,3.4878e-06,4.5919,6.6149
548,3.5047e-06,4.5919,6.639
549,3.5217e-06,4.5919,6.6634
550,3.5388e-06,4.5918,6.688
551,3.5558999999999997e-06,4.5917,6.7128
552,3.5731e-06,4.5915,6.7379
553,3.5903999999999995e-06,4.5913,6.7632
554,3.6078e-06,4.5911,6.7887
555,3.6253e-06,4.5909,6.8145
556,3.6429e-06,4.5907,6.8404
557,3.6604999999999995e-06,4.5904,6.8667
558,3.6783e-06,4.5901,6.8932
559,3.6960999999999996e-06,4.5898,6.9199
560,3.714e-06,4.5895,6.9469
561,3.732e-06,4.5891,6.9741
562,3.7501e-06,4.5888,7.0015
563,3.7682e-06,4.5884,7.0292
564,3.7865e-06,4.588,7.0572
565,3.8048e-06,4.5877,7.0854
566,3.8233e-06,4.5873,7.1139
567,3.8418e-06,4.5869,7.1427
568,3.8603999999999995e-06,4.5865,7.1717
569,3.8791e-06,4.5861,7.2009
570,3.8978999999999996e-06,4.5857,7.2304
571,3.9167999999999995e-06,4.5854,7.2602
572,3.9358e-06,4.585,7.2903
573,3.9548e-06,4.5846,7.3206
574,3.974e-06,4.5843,7.3512
575,3.993199999999999e-06,4.5839,7.382
576,4.0125999999999995e-06,4.5836,7.4131
577,4.032e-06,4.5833,7.4445
578,4.0515999999999995e-06,4.583,7.4762
579,4.0712e-06,4.5827,7.5082
580,4.0909e-06,4.5825,7.5404
581,4.1106999999999995e-06,4.5823,7.5729
582,4.1307e-06,4.5821,7.6057
583,4.150699999999999e-06,4.582,7.6387
584,4.1708e-06,4.5818,7.6721
585,4.190999999999999e-06,4.5818,7.7057
586,4.2113e-06,4.5817,7.7396
587,4.2317e-06,4.5817,7.7738
588,4.2522e-06,4.5818,7.8083
589,4.2728e-06,4.5818,7.8431
590,4.2935e-06,4.582,7.8781
591,4.3143e-06,4.5822,7.9135
592,4.3352000000000004e-06,4.5824,7.9491
593,4.3562e-06,4.5827,7.9851
594,4.3773e-06,4.583,8.0213
595,4.3985e-06,4.5835,8.0578
596,4.4198000000000004e-06,4.5839,8.0946
597,4.4412e-06,4.5845,8.1317
598,4.4628e-06,4.5851,8.1691
599,4.4844e-06,4.5858,8.2068
600,4.5061e-06,4.5865,8.2448
601,4.5278999999999995e-06,4.5874,8.2831
602,4.5499e-06,4.5883,8.3216
603,4.5719e-06,4.5893,8.3605
604,4.5941e-06,4.5903,8.3997
605,4.616299999999999e-06,4.5915,8.4392
