wl,k
3.8033e+00,1.1926e+01
3.8244e+00,1.1998e+01
3.8456e+00,1.2071e+01
3.8669e+00,1.2145e+01
3.8884e+00,1.2219e+01
3.9099e+00,1.2294e+01
3.9316e+00,1.2369e+01
3.9534e+00,1.2444e+01
3.9753e+00,1.2520e+01
3.9973e+00,1.2596e+01
4.0195e+00,1.2673e+01
4.0417e+00,1.2750e+01
4.0641e+00,1.2828e+01
4.0867e+00,1.2906e+01
4.1093e+00,1.2984e+01
4.1321e+00,1.3063e+01
4.1550e+00,1.3143e+01
4.1780e+00,1.3223e+01
4.2012e+00,1.3303e+01
4.2245e+00,1.3384e+01
4.2479e+00,1.3466e+01
4.2714e+00,1.3548e+01
4.2951e+00,1.3630e+01
4.3189e+00,1.3713e+01
4.3428e+00,1.3796e+01
4.3669e+00,1.3880e+01
4.3911e+00,1.3964e+01
4.4154e+00,1.4049e+01
4.4399e+00,1.4134e+01
4.4645e+00,1.4220e+01
4.4893e+00,1.4306e+01
4.5141e+00,1.4393e+01
4.5392e+00,1.4480e+01
4.5643e+00,1.4568e+01
4.5896e+00,1.4656e+01
4.6150e+00,1.4745e+01
4.6406e+00,1.4834e+01
4.6663e+00,1.4924e+01
4.6922e+00,1.5014e+01
4.7182e+00,1.5105e+01
4.7444e+00,1.5196e+01
4.7707e+00,1.5288e+01
4.7971e+00,1.5380e+01
4.8237e+00,1.5473e+01
4.8504e+00,1.5567e+01
4.8773e+00,1.5660e+01
4.9043e+00,1.5755e+01
4.9315e+00,1.5850e+01
4.9588e+00,1.5945e+01
4.9863e+00,1.6041e+01
5.0140e+00,1.6137e+01
5.0418e+00,1.6234e+01
5.0697e+00,1.6332e+01
5.0978e+00,1.6430e+01
5.1260e+00,1.6528e+01
5.1545e+00,1.6627e+01
5.1830e+00,1.6727e+01
5.2118e+00,1.6827e+01
5.2406e+00,1.6928e+01
5.2697e+00,1.7029e+01
5.2989e+00,1.7131e+01
5.3283e+00,1.7233e+01
5.3578e+00,1.7336e+01
5.3875e+00,1.7439e+01
5.4173e+00,1.7543e+01
5.4474e+00,1.7648e+01
5.4776e+00,1.7753e+01
5.5079e+00,1.7859e+01
5.5384e+00,1.7965e+01
5.5691e+00,1.8072e+01
5.6000e+00,1.8179e+01
5.6310e+00,1.8287e+01
5.6622e+00,1.8395e+01
5.6936e+00,1.8504e+01
5.7252e+00,1.8614e+01
5.7569e+00,1.8724e+01
5.7888e+00,1.8834e+01
5.8209e+00,1.8946e+01
5.8532e+00,1.9057e+01
5.8856e+00,1.9170e+01
5.9182e+00,1.9283e+01
5.9510e+00,1.9396e+01
5.9840e+00,1.9510e+01
6.0172e+00,1.9625e+01
